Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Rok;Jednostka miary;Wartosc;Atrybut;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"1995";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"1996";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"1997";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"1998";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"1999";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2000";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2001";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2002";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2003";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2004";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2005";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2006";"osoba";;;
"RYNEK PRACY";"BEZROBOCIE REJESTROWANE";"Bezrobotni zarejestrowani według gmin (dane półroczne) (Wymiary: Okres; Bezrobotni)";"stan w końcu czerwca";"ogółem";"";"2007";"osoba";;;
